MouseID,Group,Sex,omissions_TestTaskA_Rep1,omissions_TestTaskA_Rep2,omissions_TestTaskA_Rep3,omissions_TestTaskB_Rep1,omissions_TestTaskB_Rep2,omissions_TestTaskB_Rep3,HGF3_omega3_TestA_Rep1,HGF3_omega3_TestA_Rep2,HGF3_omega3_TestA_Rep3,HGF3_omega3_TestB_Rep1,HGF3_omega3_TestB_Rep2,HGF3_omega3_TestB_Rep3,HGF3_omega2_TestA_Rep1,HGF3_omega2_TestA_Rep2,HGF3_omega2_TestA_Rep3,HGF3_omega2_TestB_Rep1,HGF3_omega2_TestB_Rep2,HGF3_omega2_TestB_Rep3,HGF2_omega2_TestA_Rep1,HGF2_omega2_TestA_Rep2,HGF2_omega2_TestA_Rep3,HGF2_omega2_TestB_Rep1,HGF2_omega2_TestB_Rep2,HGF2_omega2_TestB_Rep3,RW_alpha_TestA_Rep1,RW_alpha_TestA_Rep2,RW_alpha_TestA_Rep3,RW_alpha_TestB_Rep1,RW_alpha_TestB_Rep2,RW_alpha_TestB_Rep3
1.1,control,Male,136,24,19,17,17,18,2.10443520700804,1.77803465452461,1.73948395837458,1.96614436018775,1.91581354760377,1.74923171507637,-8.18516223137586,-9.79925129416386,-7.11718510814088,-10.2680540892831,-9.35586634260763,-10.1237583925569,-8.20354798066067,-9.8045832531243,-7.13909575430127,-10.2713966827494,-9.35254496684371,-10.1240154677731,0.175087507446535,0.00988802803417546,0.0350347318529536,0.00366554075967925,0.227392988212166,0.00390040966367951
1.2,control,Male,156,28,21,28,30,34,1.67907069374307,5.63338638008994,1.58754052986015,1.95615391238132,1.91665342630386,1.72136548673291,-6.04123672875276,-0.497535823205062,-8.36381133487324,-10.8494848814099,-9.32581068058953,-9.22666310507848,-6.0362485171372,-9.82996314862283,-8.37342286429553,-10.8473075458794,-9.33208593383207,-4.12919360641656,0.0400856550441763,0.00723395368483982,0.0469578247818666,0.00221740872907323,0.00706133609061138,0.0861618556805782
2.1,control,Male,103,10,3,6,1,3,1.81766826948674,0.916520106402677,3.14018646134152,0.865792954358268,0.990058339745669,2.6259134432598,-7.06622951811967,-1.03104477170641,-1.33754110107923,-3.38788154943629,-3.92005436848231,-6.19173827689395,-7.03726994972619,-1.29697600352258,-0.22751225786371,-4.24330740363239,-3.86042603309029,-6.27108576404071,0.0342296773710064,0.238756396345073,0.186144452306769,0.131069741712847,0.109628149873625,0.0416551638677914
3.1,control,Male,147,21,NaN,36,14,NaN,7.20252031866557,2.02635350042666,NaN,1.95812136147316,1.88695902276245,NaN,-1.6272790991532,-10.8265400965513,NaN,-10.6753886220667,-10.7655105682195,NaN,-9.1922695470637,-10.8276515431111,NaN,-10.67027713244,-10.7608300053928,NaN,0.00596208635699136,0.00194637668603527,NaN,0.00255618819874658,0.00204842013032652,NaN
3.2,control,Male,63,16,8,16,14,5,0.751369775059986,1.2433186738483,5.27397484225797,1.67233535711586,1.21209317973714,1.66851041009718,-4.92503552026648,-3.09731588177531,-2.26640382732313,-6.7364509625448,-5.55606843073744,-9.23268866941591,-5.03807598601115,-2.76654768984048,-6.95534852019283,-6.73078026959843,-5.74800938223741,-9.25927564838695,0.105664126802653,0.140599194236242,0.0379239669372258,0.0363381126238004,0.106787830841167,0.0120549738824236
3.3,control,Male,78,43,14,67,59,19,1.62468561731799,1.43520237006286,1.13671635446643,1.87262087822403,1.63250272544601,1.27937212660917,-6.06090443845085,-2.8365430344169,-2.55063088559009,-4.61567944032592,-5.17622231743479,-4.46536883070871,-2.22814189360347,-3.28757828557725,-1.93699985281476,-4.74902227640618,-5.16635640273922,-4.3344749183294,0.227265880196834,0.274720396109314,0.196236681340686,0.150830909373879,0.100199956110828,0.130515501794099
4.2,control,Female,27,7,4,34,38,7,2.00264729086813,1.55737412459638,5.22799401837115,1.84012706860793,1.64352306048243,2.8921456631613,-9.40785454634278,-8.84335123622154,-2.56428278085432,-7.91930381580332,-7.76182089058184,4.39467920565279,-9.40615415732985,-8.85569921598355,-7.11449753367983,-7.92661988695066,-7.76784945462035,0.0809420447168541,0.00560743522757719,0.00997632740598866,0.0348971818005878,0.0111139293025925,0.0183998151745705,0.082666059516067
5.1,control,Female,85,172,NaN,102,77,NaN,1.79561380492416,1.77938988845121,NaN,1.73610372760956,1.82869740218577,NaN,-8.57487204948744,-9.03683748642091,NaN,-8.51935200660141,-7.67542590682219,NaN,-8.57250553140475,-9.03898181666852,NaN,-8.56612547206097,-7.67436871936423,NaN,0.0122547210551,0.147107858714357,NaN,0.0482572897773536,0.205310096294274,NaN
5.2,control,Female,72,113,NaN,57,82,NaN,2.25994750983513,1.52597571158166,NaN,1.26235087738547,1.5006827576773,NaN,-3.57637206299303,-6.36939365684431,NaN,-5.74451997745696,-5.97930305192305,NaN,-7.19047337961011,-6.45826628520612,NaN,-5.79574485672288,-6.01461959740412,NaN,0.152807202511223,0.0765655279761632,NaN,0.0597949930567813,0.176765809211187,NaN
5.3,control,Female,82,137,NaN,93,84,NaN,1.50645357310912,2.48319463139909,NaN,1.68228314777628,1.72522694662434,NaN,-5.47802242752275,-5.23803161417004,NaN,-5.3685584251191,-6.38710039404238,NaN,-5.51821996933961,-5.14060601134155,NaN,-5.36065865165069,-6.38629098446056,NaN,0.0925938788520042,0.11064527606958,NaN,0.0624937838430414,0.0612319279611946,NaN
5.4,control,Female,19,12,74,30,38,61,1.82584562682372,1.77984838821005,1.58974964138835,1.63055789269588,1.71915463109975,1.21913880721504,-6.6474789871401,-2.33290184709405,-7.41748245143829,-6.79369914907847,-6.49133286051585,-6.59003382469455,-6.70797499287113,-6.95545986075366,-7.41457966806693,-6.79793503835766,-6.4858876177299,-6.61323985604229,0.0476870680271742,0.194116047532075,0.0523317683340233,0.0316828816277257,0.0457373467227997,0.0451440556248443
5.5,control,Female,78,64,17,75,75,27,2.25500728514368,1.43792159175645,0.81052055565656,1.76362696838737,1.85163384230178,5.00348037691164,-5.87939920053707,-5.7365315904849,-3.39180755288055,-6.5339643548232,-5.87876394598309,-2.99203390595726,-5.8938533918472,-5.75324539746054,-2.93404019179047,-6.52691765237946,-5.88931972148142,-6.85961124325866,0.116995392563931,0.163342637484298,0.143950163613087,0.0319078086454913,0.0567579391132206,0.0343316710331897
